,ID,Chemical_Name,MinLimit,MaxLimit,Units
353,6970,P,MON,14.69387755,MG/L
354,6970,TKN,MON,MON,MG/L
355,6970,ORGN,,,
356,6970,AMMONIA,47.16553288,94.33106576,MG/L
357,6970,INORGN,MON,MON,MG/L
358,6970,NITRATE,,,
359,6970,PO4,,,
360,7019,N,,,
361,7019,P,MON,MON,KG/DAY
362,7019,TKN,MON,MON,KG/DAY
363,7019,ORGN,,,
364,7019,AMMONIA,12.38095238,12.38095238,KG/DAY
365,7019,INORGN,MON,MON,KG/DAY
366,7019,NITRATE,,,
367,7019,PO4,,,
368,7100,N,MON,MON,MG/L
369,7100,P,MON,MON,MG/L
370,7100,TKN,,,
371,7100,ORGN,,,
372,7100,AMMONIA,MON,MON,MG/L
373,7100,INORGN,,,
374,7100,NITRATE,,,
375,7100,PO4,,,
376,7104,N,,,
377,7104,P,MON,MON,KG/DAY
378,7104,TKN,11.33786848,22.67573696,KG/DAY
379,7104,ORGN,,,
380,7104,AMMONIA,5.66893424,11.33786848,MG/L
381,7104,INORGN,MON,MON,KG/DAY
382,7104,NITRATE,,,
383,7104,PO4,MON,MON,KG/DAY
384,7116,N,,,
385,7116,P,MON,MON,KG/DAY
386,7116,TKN,MON,MON,KG/DAY
387,7116,ORGN,,,
388,7116,AMMONIA,0.204081633,0.394557823,KG/DAY
389,7116,INORGN,MON,MON,KG/DAY
390,7116,NITRATE,,,
391,7116,PO4,,,
392,7124,N,,,
393,7124,P,MON,MON,MG/L
394,7124,TKN,,,
395,7124,ORGN,,,
396,7124,AMMONIA,0.063492063,0.136054422,KG/DAY
397,7124,INORGN,,,
398,7124,NITRATE,,,
399,7124,PO4,,,
400,7125,N,,,
401,7125,P,MON,MON,KG/DAY
402,7125,TKN,MON,MON,KG/DAY
403,7125,ORGN,,,
404,7125,AMMONIA,0.099773243,0.099773243,KG/DAY
405,7125,INORGN,MON,MON,KG/DAY
406,7125,NITRATE,,,
407,7125,PO4,,,
408,7126,N,,,
409,7126,P,MON,MON,KG/DAY
410,7126,TKN,MON,MON,KG/DAY
411,7126,ORGN,,,
412,7126,AMMONIA,0.045351474,0.045351474,KG/DAY
413,7126,INORGN,MON,MON,KG/DAY
414,7126,NITRATE,,,
415,7126,PO4,,,
416,7140,N,,,
417,7140,P,MON,MON,KG/DAY
418,7140,TKN,MON,MON,KG/DAY
419,7140,ORGN,,,
420,7140,AMMONIA,0.049886621,0.10430839,KG/DAY
421,7140,INORGN,MON,MON,KG/DAY
422,7140,NITRATE,,,
423,7140,PO4,,,
424,7152,N,,,
425,7152,P,MON,MON,KG/DAY
426,7152,TKN,MON,MON,KG/DAY
427,7152,ORGN,,,
428,7152,AMMONIA,0.054421769,0.054421769,KG/DAY
429,7152,INORGN,MON,MON,KG/DAY
430,7152,NITRATE,,,
431,7152,PO4,,,
432,7262,N,,,
433,7262,P,0.36,0.36,MG/L
434,7262,TKN,MON,MON,KG/DAY
435,7262,ORGN,,,
436,7262,AMMONIA,2.811791383,8.480725624,KG/DAY
437,7262,INORGN,MON,MON,KG/DAY
438,7262,NITRATE,,,
439,7262,PO4,,,
440,7263,N,MON,MON,MG/L
441,7263,P,,,
442,7263,TKN,,,
443,7263,ORGN,,,
444,7263,AMMONIA,,,
445,7263,INORGN,,,
446,7263,NITRATE,,,
447,7263,PO4,,,
448,7264,N,,,
449,7264,P,MON,MON,MG/L
450,7264,TKN,MON,MON,KG/DAY
451,7264,ORGN,,,
452,7264,AMMONIA,0.185941043,0.185941043,KG/DAY
453,7264,INORGN,MON,MON,KG/DAY
454,7264,NITRATE,,,
455,7264,PO4,,,
456,7265,N,,,
457,7265,P,MON,MON,KG/DAY
458,7265,TKN,MON,MON,KG/DAY
459,7265,ORGN,,,
460,7265,AMMONIA,0.136054422,0.136054422,KG/DAY
461,7265,INORGN,MON,MON,KG/DAY
462,7265,NITRATE,,,
463,7265,PO4,,,
464,7267,N,,,
465,7267,P,MON,MON,KG/DAY
466,7267,TKN,MON,MON,KG/DAY
467,7267,ORGN,,,
468,7267,AMMONIA,0.848072562,0.848072562,KG/DAY
469,7267,INORGN,MON,MON,KG/DAY
470,7267,NITRATE,,,
471,7267,PO4,,,
472,7268,N,,,
473,7268,P,MON,MON,KG/DAY
474,7268,TKN,MON,MON,KG/DAY
475,7268,ORGN,,,
476,7268,AMMONIA,0.108843537,0.19047619,KG/DAY
477,7268,INORGN,MON,MON,KG/DAY
478,7268,NITRATE,,,
479,7268,PO4,,,
480,7269,N,,,
481,7269,P,MON,MON,KG/DAY
482,7269,TKN,MON,MON,KG/DAY
483,7269,ORGN,,,
484,7269,AMMONIA,0.272108844,0.544217687,KG/DAY
485,7269,INORGN,MON,MON,KG/DAY
486,7269,NITRATE,,,
487,7269,PO4,,,
488,7273,N,,,
489,7273,P,MON,MON,KG/DAY
490,7273,TKN,MON,MON,KG/DAY
491,7273,ORGN,,,
492,7273,AMMONIA,0.045351474,0.045351474,KG/DAY
493,7273,INORGN,MON,MON,KG/DAY
494,7273,NITRATE,,,
495,7273,PO4,,,
496,7279,N,,,
497,7279,P,MON,MON,KG/DAY
498,7279,TKN,3.782312925,3.782312925,KG/DAY
499,7279,ORGN,,,
500,7279,AMMONIA,1.891156463,1.891156463,KG/DAY
501,7279,INORGN,,,
502,7279,NITRATE,,,
503,7279,PO4,,,
504,7287,N,,,
505,7287,P,MON,MON,KG/DAY
506,7287,TKN,MON,MON,KG/DAY
507,7287,ORGN,,,
508,7287,AMMONIA,0.045351474,0.077097506,KG/DAY
509,7287,INORGN,MON,MON,KG/DAY
510,7287,NITRATE,,,
511,7287,PO4,,,
512,7388,N,,,
513,7388,P,MON,MON,MG/L
514,7388,TKN,MON,MON,MG/L
515,7388,ORGN,,,
516,7388,AMMONIA,90.70294785,226.7573696,MG/L
517,7388,INORGN,MON,MON,MG/L
518,7388,NITRATE,,,
519,7388,PO4,,,
520,7391,N,,,
521,7391,P,MON,MON,MG/L
522,7391,TKN,113.3786848,113.3786848,MG/L
523,7391,ORGN,,,
524,7391,AMMONIA,113.3786848,113.3786848,MG/L
525,7391,INORGN,MON,MON,MG/L
526,7391,NITRATE,,,
527,7391,PO4,,,
528,7396,N,,,
529,7396,P,MON,MON,MG/L
530,7396,TKN,MON,MON,MG/L
531,7396,ORGN,,,
532,7396,AMMONIA,MON,MON,MG/L
533,7396,INORGN,,,
534,7396,NITRATE,,,
535,7396,PO4,,,
536,7397,N,,,
537,7397,P,MON,MON,MG/L
538,7397,TKN,MON,MON,MG/L
539,7397,ORGN,,,
540,7397,AMMONIA,,,
541,7397,INORGN,,,
542,7397,NITRATE,,,
543,7397,PO4,,,
544,7399,N,,,
